Date: Nov 20, 2017; Open: 8039.07; High: 8336.86; Low: 7949.36; Close: 8200.64; Volume: 3,488,450,000; MCap: 134,167,000,000
Date: Nov 03, 2017; Open: 7087.53; High: 7461.29; Low: 7002.94; Close: 7207.76; Volume: 3,369,860,000; MCap: 118,084,000,000
Date: Nov 02, 2017; Open: 6777.77; High: 7367.33; Low: 6758.72; Close: 7078.50; Volume: 4,653,770,000; MCap: 112,910,000,000
Date: Nov 01, 2017; Open: 6440.97; High: 6767.31; Low: 6377.88; Close: 6767.31; Volume: 2,870,320,000; MCap: 107,287,000,000
Date: Oct 31, 2017; Open: 6132.02; High: 6470.43; Low: 6103.33; Close: 6468.40; Volume: 2,311,380,000; MCap: 102,130,000,000
Date: Oct 30, 2017; Open: 6114.85; High: 6214.99; Low: 6040.85; Close: 6130.53; Volume: 1,772,150,000; MCap: 101,833,000,000
Date: Oct 29, 2017; Open: 5754.44; High: 6255.71; Low: 5724.58; Close: 6153.85; Volume: 2,859,040,000; MCap: 95,819,800,000
Date: Oct 28, 2017; Open: 5787.82; High: 5876.72; Low: 5689.19; Close: 5753.09; Volume: 1,403,920,000; MCap: 96,369,600,000
Date: Oct 27, 2017; Open: 5899.74; High: 5988.39; Low: 5728.82; Close: 5780.90; Volume: 1,710,130,000; MCap: 98,225,400,000
Date: Oct 26, 2017; Open: 5747.95; High: 5976.80; Low: 5721.22; Close: 5904.83; Volume: 1,905,040,000; MCap: 95,685,100,000
Date: Oct 25, 2017; Open: 5524.60; High: 5754.33; Low: 5397.88; Close: 5750.80; Volume: 1,966,990,000; MCap: 91,954,200,000
Date: Oct 24, 2017; Open: 5935.52; High: 5935.52; Low: 5504.18; Close: 5526.64; Volume: 2,735,700,000; MCap: 98,781,600,000
Date: Oct 23, 2017; Open: 6006.00; High: 6075.59; Low: 5732.47; Close: 5930.32; Volume: 2,401,840,000; MCap: 99,941,600,000
Date: Oct 22, 2017; Open: 6036.66; High: 6076.26; Low: 5792.34; Close: 6008.42; Volume: 2,034,630,000; MCap: 100,438,000,000
Date: Oct 21, 2017; Open: 5996.79; High: 6194.88; Low: 5965.07; Close: 6031.60; Volume: 2,207,100,000; MCap: 99,763,200,000
Date: Oct 20, 2017; Open: 5708.11; High: 6060.11; Low: 5627.23; Close: 6011.45; Volume: 2,354,430,000; MCap: 94,947,900,000
Date: Oct 19, 2017; Open: 5583.74; High: 5744.35; Low: 5531.06; Close: 5708.52; Volume: 1,780,540,000; MCap: 92,867,000,000
Date: Oct 18, 2017; Open: 5603.82; High: 5603.82; Low: 5151.44; Close: 5590.69; Volume: 2,399,270,000; MCap: 93,190,200,000
Date: Oct 17, 2017; Open: 5741.58; High: 5800.35; Low: 5472.72; Close: 5605.51; Volume: 1,821,570,000; MCap: 95,469,300,000
Date: Oct 16, 2017; Open: 5687.57; High: 5776.23; Low: 5544.21; Close: 5725.59; Volume: 2,008,070,000; MCap: 94,559,000,000
Date: Oct 15, 2017; Open: 5835.96; High: 5852.48; Low: 5478.61; Close: 5678.19; Volume: 1,976,040,000; MCap: 97,011,900,000
Date: Oct 14, 2017; Open: 5643.53; High: 5837.70; Low: 5591.64; Close: 5831.79; Volume: 1,669,030,000; MCap: 93,803,000,000
Date: Oct 13, 2017; Open: 5464.16; High: 5840.30; Low: 5436.85; Close: 5647.21; Volume: 3,615,480,000; MCap: 90,812,400,000
Date: Oct 12, 2017; Open: 4829.58; High: 5446.91; Low: 4822.00; Close: 5446.91; Volume: 2,791,610,000; MCap: 80,256,700,000
Date: Oct 11, 2017; Open: 4789.25; High: 4873.73; Low: 4751.63; Close: 4826.48; Volume: 1,222,280,000; MCap: 79,578,200,000
Date: Oct 10, 2017; Open: 4776.21; High: 4922.17; Low: 4765.10; Close: 4781.99; Volume: 1,597,140,000; MCap: 79,351,800,000
Date: Oct 09, 2017; Open: 4614.52; High: 4878.71; Low: 4564.25; Close: 4772.02; Volume: 1,968,740,000; MCap: 76,656,500,000
Date: Oct 08, 2017; Open: 4429.67; High: 4624.14; Low: 4405.64; Close: 4610.48; Volume: 1,313,870,000; MCap: 73,575,400,000
Date: Oct 07, 2017; Open: 4369.35; High: 4443.88; Low: 4321.05; Close: 4426.89; Volume: 906,928,000; MCap: 72,565,100,000
Date: Oct 06, 2017; Open: 4324.46; High: 4413.27; Low: 4320.53; Close: 4370.81; Volume: 1,069,940,000; MCap: 71,810,600,000
Date: Oct 05, 2017; Open: 4229.88; High: 4362.64; Low: 4164.05; Close: 4328.41; Volume: 1,161,770,000; MCap: 70,233,700,000
Date: Oct 04, 2017; Open: 4319.37; High: 4352.31; Low: 4210.42; Close: 4229.36; Volume: 1,116,770,000; MCap: 71,712,500,000
Date: Oct 03, 2017; Open: 4408.46; High: 4432.47; Low: 4258.89; Close: 4317.48; Volume: 1,288,020,000; MCap: 73,181,300,000
Date: Oct 02, 2017; Open: 4395.81; High: 4470.23; Low: 4377.46; Close: 4409.32; Volume: 1,431,730,000; MCap: 72,963,200,000
Date: Oct 01, 2017; Open: 4341.05; High: 4403.74; Low: 4269.81; Close: 4403.74; Volume: 1,208,210,000; MCap: 72,047,300,000
Date: Sep 30, 2017; Open: 4166.11; High: 4358.43; Low: 4160.86; Close: 4338.71; Volume: 1,207,450,000; MCap: 69,136,600,000
Date: Sep 29, 2017; Open: 4171.62; High: 4214.63; Low: 4039.29; Close: 4163.07; Volume: 1,367,050,000; MCap: 69,219,200,000
Date: Sep 28, 2017; Open: 4197.13; High: 4279.31; Low: 4109.70; Close: 4174.73; Volume: 1,712,320,000; MCap: 69,633,200,000
Date: Sep 27, 2017; Open: 3892.94; High: 4210.05; Low: 3884.82; Close: 4200.67; Volume: 1,686,880,000; MCap: 64,579,200,000
Date: Sep 26, 2017; Open: 3928.41; High: 3969.89; Low: 3869.90; Close: 3892.35; Volume: 1,043,740,000; MCap: 65,161,000,000
Date: Sep 25, 2017; Open: 3681.58; High: 3950.25; Low: 3681.58; Close: 3926.07; Volume: 1,374,210,000; MCap: 61,061,100,000
Date: Sep 24, 2017; Open: 3796.15; High: 3796.15; Low: 3666.90; Close: 3682.84; Volume: 768,015,000; MCap: 62,954,300,000
Date: Sep 23, 2017; Open: 3629.92; High: 3819.21; Low: 3594.58; Close: 3792.40; Volume: 928,114,000; MCap: 60,190,000,000
Date: Sep 22, 2017; Open: 3628.02; High: 3758.27; Low: 3553.53; Close: 3630.70; Volume: 1,194,830,000; MCap: 60,152,300,000
Date: Sep 21, 2017; Open: 3901.47; High: 3916.42; Low: 3613.63; Close: 3631.04; Volume: 1,411,480,000; MCap: 64,677,600,000
Date: Sep 20, 2017; Open: 3916.36; High: 4031.39; Low: 3857.73; Close: 3905.95; Volume: 1,213,830,000; MCap: 64,918,500,000
Date: Sep 19, 2017; Open: 4073.79; High: 4094.07; Low: 3868.87; Close: 3924.97; Volume: 1,563,980,000; MCap: 67,520,300,000
Date: Sep 18, 2017; Open: 3591.09; High: 4079.23; Low: 3591.09; Close: 4065.20; Volume: 1,943,210,000; MCap: 59,514,100,000
Date: Sep 17, 2017; Open: 3606.28; High: 3664.81; Low: 3445.64; Close: 3582.88; Volume: 1,239,150,000; MCap: 59,757,800,000
Date: Sep 16, 2017; Open: 3637.75; High: 3808.84; Low: 3487.79; Close: 3625.04; Volume: 1,818,400,000; MCap: 60,271,600,000
Date: Sep 15, 2017; Open: 3166.30; High: 3733.45; Low: 2946.62; Close: 3637.52; Volume: 4,148,070,000; MCap: 52,453,500,000
Date: Sep 14, 2017; Open: 3875.37; High: 3920.60; Low: 3153.86; Close: 3154.95; Volume: 2,716,310,000; MCap: 64,191,600,000
Date: Sep 13, 2017; Open: 4131.98; High: 4131.98; Low: 3789.92; Close: 3882.59; Volume: 2,219,410,000; MCap: 68,432,200,000
Date: Sep 12, 2017; Open: 4168.88; High: 4344.65; Low: 4085.22; Close: 4130.81; Volume: 1,864,530,000; MCap: 69,033,400,000
Date: Sep 11, 2017; Open: 4122.47; High: 4261.67; Low: 4099.40; Close: 4161.27; Volume: 1,557,330,000; MCap: 68,256,000,000
Date: Sep 10, 2017; Open: 4229.34; High: 4245.44; Low: 3951.04; Close: 4122.94; Volume: 1,679,090,000; MCap: 70,018,100,000
Date: Sep 09, 2017; Open: 4229.81; High: 4308.82; Low: 4114.11; Close: 4226.06; Volume: 1,386,230,000; MCap: 70,017,200,000
Date: Sep 08, 2017; Open: 4605.16; High: 4661.00; Low: 4075.18; Close: 4228.75; Volume: 2,700,890,000; MCap: 76,220,200,000
Date: Sep 07, 2017; Open: 4589.14; High: 4655.04; Low: 4491.33; Close: 4599.88; Volume: 1,844,620,000; MCap: 75,945,000,000
Date: Sep 06, 2017; Open: 4376.59; High: 4617.25; Low: 4376.59; Close: 4597.12; Volume: 2,172,100,000; MCap: 72,418,700,000
Date: Sep 05, 2017; Open: 4228.29; High: 4427.84; Low: 3998.11; Close: 4376.53; Volume: 2,697,970,000; MCap: 69,954,400,000
Date: Sep 04, 2017; Open: 4591.63; High: 4591.63; Low: 4108.40; Close: 4236.31; Volume: 2,987,330,000; MCap: 75,955,500,000
Date: Sep 03, 2017; Open: 4585.27; High: 4714.08; Low: 4417.59; Close: 4582.96; Volume: 1,933,190,000; MCap: 75,841,700,000
Date: Sep 02, 2017; Open: 4901.42; High: 4975.04; Low: 4469.24; Close: 4578.77; Volume: 2,722,140,000; MCap: 81,060,600,000
Date: Sep 01, 2017; Open: 4701.76; High: 4892.01; Low: 4678.53; Close: 4892.01; Volume: 2,599,080,000; MCap: 77,748,400,000
Date: Aug 31, 2017; Open: 4555.59; High: 4736.05; Low: 4549.40; Close: 4703.39; Volume: 1,944,930,000; MCap: 75,322,300,000
Date: Aug 30, 2017; Open: 4570.36; High: 4626.52; Low: 4471.41; Close: 4565.30; Volume: 1,937,850,000; MCap: 75,556,600,000
Date: Aug 29, 2017; Open: 4389.21; High: 4625.68; Low: 4352.13; Close: 4579.02; Volume: 2,486,080,000; MCap: 72,553,800,000
Date: Aug 28, 2017; Open: 4384.45; High: 4403.93; Low: 4224.64; Close: 4382.66; Volume: 1,959,330,000; MCap: 72,467,900,000
Date: Aug 27, 2017; Open: 4345.10; High: 4416.59; Low: 4317.29; Close: 4382.88; Volume: 1,537,460,000; MCap: 71,809,200,000
Date: Aug 26, 2017; Open: 4372.06; High: 4379.28; Low: 4269.52; Close: 4352.40; Volume: 1,511,610,000; MCap: 72,249,100,000
Date: Aug 25, 2017; Open: 4332.82; High: 4455.70; Low: 4307.35; Close: 4371.60; Volume: 1,727,970,000; MCap: 71,595,100,000
Date: Aug 24, 2017; Open: 4137.60; High: 4376.39; Low: 4130.26; Close: 4334.68; Volume: 2,037,750,000; MCap: 68,363,900,000
Date: Aug 23, 2017; Open: 4089.01; High: 4255.78; Low: 4078.41; Close: 4151.52; Volume: 2,369,820,000; MCap: 67,553,000,000
Date: Aug 22, 2017; Open: 3998.35; High: 4128.76; Low: 3674.58; Close: 4100.52; Volume: 3,764,240,000; MCap: 66,051,000,000
Date: Aug 21, 2017; Open: 4090.48; High: 4109.14; Low: 3988.60; Close: 4001.74; Volume: 2,800,890,000; MCap: 67,567,100,000
